Lat;Lon;name
49.038421199682816;1.5938821;Biocoop
43.327534100541655;2.5228681;8 à Huit
48.833509399733614;2.307908;Tang Frères
45.63883860039478;3.5581046;Livradois Discount
45.056382658767504;1.669319335339188;U Express
50.33218249937914;2.9770024;Lidl
43.32346420054162;5.3880315;Supermarché Casino
43.389720200541944;3.3160116;Lidl
50.513384299341396;2.7005487;Super Market Caravanes
43.91746370053522;2.143964;Netto
50.56844189933026;2.9980832;Carrefour City
43.678779279721496;7.201838738433985;Lidl
48.67908109977193;2.3187534;Carrefour Contact
43.68228350054026;1.4219342;Leader Price
45.66457710039129;4.8956231;Supeco
48.722548999761145;2.5334972;Carrefour City
49.03301369968416;7.9448084;La Ferme aux sept grains
49.07358209967411;2.6747446;Carrefour City
50.94822009925849;1.8572391;Carrefour Market
